Company Size,Local Cost of Living,Gender,Experience?,Are you technical/providing technical support?,Job title,What are you paid per year? (please convert to USD),Do you receive other forms of compensation,Do you work remotely 100% of the time (not the occasional WFH day)?,,
Small (>5-50),$$,Female,A few years,Kinda,I'm in charge of the entire support operation,"$120,000 ",Bonuses,No,,
Small (>5-50),$$$,Female,I'm new,No,I'm in charge of the entire support operation,"$60,000 ",Equity,Yes,,
Small (>5-50),$$$,Female,A few years,No,I help customers,"$42,000 ","Amazing benefits (pension, 100% medical, sabbaticals, etc)",No,,
Small (>5-50),$$$,Female,A few years,Yes,I'm in charge of the entire support operation,"$55,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",No,,
Small (>5-50),$$$,Female,A few years,Kinda,I lead a team (but I'm not head of support),"$32,000 ","Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Small (>5-50),$$$,Female,A few years,No,I'm in charge of the entire support operation,"$38,000 ","Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Small (>5-50),$$$,Female,A few years,Kinda,I'm in charge of the entire support operation,"$50,000 ","Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Small (>5-50),$$$,Female,A few years,Yes,I help customers,"$50,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Small (>5-50),$$$,Female,A few years,Yes,I help customers,"$60,000 ","Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Medium (>50-250),$$$,Female,Support is a way of life!,Kinda,I'm in charge of the entire support operation,"$90,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Small (>5-50),$$$,Female,Support is a way of life!,Yes,I'm in charge of the entire support operation,"$105,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",No,,
Small (>5-50),$$$,Female,Support is a way of life!,Yes,I'm in charge of the entire support operation,"$105,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",Yes,,
Medium (>50-250),$$$$,Female,Support is a way of life!,Yes,I'm in charge of the entire support operation,"$125,000 ","Bonuses, Amazing benefits",No,,
Small (>5-50),$$$$,Female,I'm new,Kinda,I help customers,"$45,000 ","Equity, Amazing benefits (pension, 100% medical, sabbaticals, etc)",No,,
